DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,NET CASH BALANCE,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
1/4/2016,??14308810092??,Sold,200,SHFK,31.51,7,6294.88,,,,,
11/9/2015,??14039344430??,Bought,100,ORM,14.2,7,1427,,,,,
10/6/2015,??13890300604??,Bought,100,USAK,18.939,7,1900.9,,,,,
9/24/2015,??13813781862??,Bought,8000,PKTEF,0.335,7,2687,,,,,
9/8/2015,??13748051918??,Sold,1500,NAUH,2.7905,7,4178.67,,,,,
5/27/2015,??13272057283??,Sold,750,PRSS,4.5,7,3367.93,,,,,
5/4/2015,??13189743721??,Bought,2000,AXLE,0.465,7,937,,,,,
5/4/2015,??13189506795??,Bought,80,USAK,25.55,7,2051,,,,,
4/21/2015,??13122884587??,Bought,750,PRSS,3.9997,7,3006.78,,,,,
4/16/2015,??13097764837??,Sold,1150,INFU,3.11,7,3569.43,,,,,
3/30/2015,??13006164674??,Bought,2500,PKTEF,0.399,0,997.5,,,,,
3/30/2015,??13006164665??,Bought,2500,PKTEF,0.4,7,1007,,,,,
3/27/2015,??12999029681??,Bought,200,PW,8.95,7,1797,,,,,
3/9/2015,??12914893981??,Bought,500,NAUH,3.3999,7,1706.95,,,,,
2/23/2015,??12844920239??,Bought,1000,NAUH,3.2887,7,3295.7,,,,,
2/23/2015,??12844851147??,Sold,1900,AMZKF,1.74,0,3305.93,,,,,
2/23/2015,??12844851143??,Sold,100,AMZKF,1.74299,7,167.29,,,,,
10/20/2014,??12278931779??,Bought,92,CTO,48.96,7,4511.32,,,,,
10/16/2014,??12267513734??,Sold,6500,GLGI,0.379,0,2463.44,,,,,
10/16/2014,??12267513732??,Sold,1000,GLGI,0.38,7,372.99,,,,,
10/8/2014,??12230819495??,Bought,7500,GLGI,0.427,7,3209.5,,,,,
8/11/2014,??11973473995??,Sold,2460,NROM,1.76,7,4322.5,,,,,
5/14/2014,??11600631305??,Sold,550,STRP,8.2401,9.99,4521.96,,,,,
3/3/2014,??11252656127??,Sold,225,CWGL,8.02,9.99,1794.47,,,,,
2/25/2014,??11219587192??,Bought,2000,AMZKF,2.193,9.99,4395.99,,,,,
2/25/2014,??11219584337??,Sold,1150,INFU,2.9002,9.99,3325.18,,,,,
12/10/2013,10870665774,Sold 45 SHFK @ 20.51,45,SHFK,20.51,9.99,912.94,,,,,
11/27/2013,10812083324,Sold 1470 NROM @ 1.62,1470,NROM,1.62,9.99,2371.36,,,,,
10/25/2013,10678092789,Sold 2000 NROM @ 1.52,2000,NROM,1.52,9.99,3029.95,,,,,
10/7/2013,10608359941,Bought 550 STRP @ 6.14,550,STRP,6.14,9.99,-3386.99,,,,,
9/10/2013,10478155447,Sold 98 WBMD @ 33.16,98,WBMD,33.16,9.99,3239.63,,,,,
8/21/2013,10405066160,Bought 98 WBMD @ 31.6099,98,WBMD,31.6099,9.99,-3107.76,,,,,
5/15/2013,10017093301,Bought 1100 INFU @ 1.43,1100,INFU,1.43,9.99,-1582.99,,,,,
4/22/2013,9882281183,Bought 1200 INFU @ 1.4799,1200,INFU,1.4799,9.99,-1785.87,,,,,
4/4/2013,9825593133,Bought 225 CWGL @ 9.61,225,CWGL,9.61,9.99,-2172.24,,,,,
4/1/2013,9805673057,Bought 1930 NROM @ 0.85,1930,NROM,0.85,9.99,-1650.49,,,,,
2/1/2013,9598259308,Bought 150 SHFK @ 11.3,150,SHFK,11.3,9.99,-1704.99,,,,,
2/1/2013,9598250537,Bought 2400 NROM @ 1.04,2400,NROM,1.04,9.99,-2505.99,,,,,
11/28/2012,9316299853,Bought 95 SHFK @ 10.5,95,SHFK,10.5,9.99,-1007.49,,,,,
11/13/2012,9274343960,Bought 1600 NROM @ 0.68,1600,NROM,0.68,9.99,-1097.99,,,,,
