DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,NET CASH BALANCE,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
8/11/14,11973473995,Sold 2460 NROM @ 1.76,2460,NROM,1.76,7,4322.5,---,0.1,,,
6/17/14,11736307758,Sold 975 @ 0.65,975,,0.65,,633.75,---,,,,
5/14/14,11600631305,Sold 550 STRP @ 8.2401,550,STRP,8.2401,9.99,4521.96,---,0.11,,,
4/17/14,11495242204,Sold 2500 PRXI @ 0.81,2500,PRXI,0.81001,9.99,2014.99,---,0.05,,,
4/17/14,11495405105,Sold 100 PRXI @ 0.8301,100,PRXI,0.8301,0,83,---,0.01,,,
4/17/14,11495405102,Sold 200 PRXI @ 0.8302,200,PRXI,0.8302,9.99,156.04,---,0.01,,,
4/7/14,11446174798,Bought 2800 PRXI @ 0.8999,2800,PRXI,0.8999,9.99,-2529.71,---,,,,
3/20/14,11330628739,NON-TAXABLE SPIN OFF/LIQUIDATION DISTRIBUTION (AMRK),243,AMRK,,,0,---,,,,
3/3/14,11252656127,Sold 225 CWGL @ 8.02,225,CWGL,8.02,9.99,1794.47,---,0.04,,,
2/28/14,11235023642,Bought 975 SPGZ @ 2.96,975,SPGZ,2.96,9.99,-2895.99,---,,,,
2/25/14,11219587192,Bought 2000 AMZKF @ 2.193,2000,AMZKF,2.193,9.99,-4395.99,---,,,,
2/25/14,11219584337,Sold 1150 INFU @ 2.9002,1150,INFU,2.9002,9.99,3325.18,---,0.06,,,
12/10/13,10870665774,Sold 45 SHFK @ 20.51,45,SHFK,20.51,9.99,912.94,---,0.02,,,
11/27/13,10812083324,Sold 1470 NROM @ 1.62,1470,NROM,1.62,9.99,2371.36,---,0.05,,,
11/27/13,10812348157,Sold 2450 AXANF @ 2.3375,2450,AXANF,2.3375,0,5726.78,---,0.1,,,
11/27/13,10812348154,Sold 100 AXANF @ 2.3382,100,AXANF,2.3382,0,233.81,---,0.01,,,
11/27/13,10812348149,Sold 200 AXANF @ 2.3591,200,AXANF,2.3591,9.99,461.82,---,0.01,,,
10/25/13,10678092789,Sold 2000 NROM @ 1.52,2000,NROM,1.52,9.99,3029.95,---,0.06,,,
10/7/13,10608359941,Bought 550 STRP @ 6.14,550,STRP,6.14,9.99,-3386.99,---,,,,
9/10/13,10478155447,Sold 98 WBMD @ 33.16,98,WBMD,33.16,9.99,3239.63,---,0.06,,,
9/4/13,10458384410,Sold 441 STTYF @ 1.43,441,STTYF,1.43,9.99,620.62,---,0.02,,,
8/21/13,10405066160,Bought 98 WBMD @ 31.6099,98,WBMD,31.6099,9.99,-3107.76,---,,,,
5/15/13,10017093301,Bought 1100 INFU @ 1.43,1100,INFU,1.43,9.99,-1582.99,---,,,,
4/22/13,9882281183,Bought 1200 INFU @ 1.4799,1200,INFU,1.4799,9.99,-1785.87,---,,,,
4/4/13,9825593133,Bought 225 CWGL @ 9.61,225,CWGL,9.61,9.99,-2172.24,---,,,,
4/1/13,9805673057,Bought 1930 NROM @ 0.85,1930,NROM,0.85,9.99,-1650.49,---,,,,
2/1/13,9598259308,Bought 150 SHFK @ 11.3,150,SHFK,11.3,9.99,-1704.99,---,,,,
2/1/13,9598250537,Bought 2400 NROM @ 1.04,2400,NROM,1.04,9.99,-2505.99,---,,,,
2/1/13,9598247908,Sold 750 AXANF @ 1.2721,750,AXANF,1.2721,9.99,944.06,---,0.03,,,
2/1/13,9598243140,Sold 125 DV @ 25.7102,125,DV,25.7102,9.99,3203.71,---,0.08,,,
2/1/13,9598242118,Sold 38 AGG @ 110.0201,38,AGG,110.0201,0,4180.66,---,0.1,,,
2/1/13,9598239517,Sold 12 CMG @ 312.6301,12,CMG,312.6301,9.99,3741.48,---,0.09,,,
2/1/13,9598237574,Sold 106 DX @ 10.1602,106,DX,10.1602,9.99,1066.96,---,0.03,,,
2/1/13,9598236622,Sold 300 LMAT @ 6.1802,300,LMAT,6.1802,9.99,1844.02,---,0.05,,,
2/1/13,9598236285,Sold 85 LVB @ 22.4558,85,LVB,22.4558,9.99,1898.7,---,0.05,,,
2/1/13,9598234500,Sold 87 NLY @ 14.8001,87,NLY,14.8001,9.99,1277.59,---,0.03,,,
2/1/13,9598233282,Sold 128 RGS @ 18.1201,128,RGS,18.1201,9.99,2309.32,---,0.06,,,
12/12/12,9375145948,Sold 83 TEVA @ 39.41,83,TEVA,39.41,9.99,3260.96,---,0.08,,,
11/28/12,9316299853,Bought 95 SHFK @ 10.5,95,SHFK,10.5,9.99,-1007.49,---,,,,
11/13/12,9274343960,Bought 1600 NROM @ 0.68,1600,NROM,0.68,9.99,-1097.99,---,,,,
10/31/12,9224838536,Sold 7 AAPL @ 594.49,7,AAPL,594.49,9.99,4151.34,---,0.1,,,
10/16/12,9184414716,Bought 125 DV @ 23,125,DV,23,9.99,-2884.99,---,,,,
9/25/12,9100674290,Bought 12 CMG @ 330,12,CMG,330,9.99,-3969.99,---,,,,
